ts_ms,volume,energy_ratio,rel_dist_mm,delta_mm,phase_vel_mm_per_frame,power_thr,avg_power,min_power,max_power,power_pass,freq_used_1st,freq_used_2nd
1773844567376,15,0.000000,0.000000,5.069855,5.069855,15000.0,1332874.000,27343.855,4097206.500,10,10,7
1773844567410,15,0.000000,6.590811,-0.037865,2.515995,15000.0,3380406.250,68474.695,11234999.000,10,10,9
1773844567427,15,0.000000,6.541586,0.579775,1.870588,15000.0,2468419.250,71181.219,7247463.500,10,10,6
1773844567443,15,0.000000,7.295294,1.524734,1.784125,15000.0,3500924.750,84406.531,11290626.000,10,10,6
1773844567449,15,0.000000,9.277448,-0.011160,1.425068,15000.0,5189206.000,67911.953,20746214.000,10,10,9
1773844567458,15,0.000000,9.262939,-0.079656,0.395166,15000.0,4214446.500,24424.307,15232490.000,10,10,8
1773844567469,15,0.000000,9.159387,0.036492,0.410037,15000.0,3605043.000,68175.664,14751835.000,10,10,8
1773844567494,15,0.000000,9.206826,0.043497,0.302781,15000.0,3054798.500,88436.250,14025707.000,10,10,9
1773844567508,15,0.000000,9.263372,0.024795,0.002794,15000.0,2613975.250,115643.078,13524877.000,10,10,8
1773844567533,15,0.000000,9.295606,0.011997,0.007425,15000.0,1704729.625,129607.656,8536878.000,10,10,7
1773844567552,15,0.000000,9.311202,0.008561,0.025068,15000.0,1156480.250,128193.109,5462456.500,10,10,7
1773844567572,15,0.000000,9.311202,-0.005160,0.016738,15000.0,959270.375,127830.977,3693557.500,10,10,7
1773844567597,15,0.000000,9.311202,-0.004367,0.007165,15000.0,839807.000,137201.719,3493200.000,10,10,6
1773844567617,15,0.000000,9.311202,-0.013674,-0.000529,15000.0,810726.563,112108.508,3559153.250,10,10,7
1773844567636,15,0.000000,9.293426,0.040729,0.005218,15000.0,827471.188,57243.824,3624319.250,10,10,8
1773844567638,15,0.000000,9.346374,0.045953,0.012696,15000.0,865972.813,66518.031,3651706.750,10,10,9
1773844567657,15,0.000000,9.406112,-0.007928,0.012142,15000.0,800746.938,44441.266,3454925.750,10,10,8
1773844567684,15,0.000000,9.406112,-0.015432,0.009929,15000.0,697199.250,14968.209,3230212.750,9,9,7
1773844567702,15,0.000000,9.386050,0.000187,0.012702,15000.0,651860.625,11576.988,2978638.750,9,9,7
1773844567725,15,0.000000,9.386050,0.001284,0.004813,15000.0,624095.938,12273.491,2721409.000,9,9,7
1773844567743,15,0.000000,9.386050,0.007643,-0.002849,15000.0,502188.531,26535.793,1210549.250,10,10,8
1773844567765,15,0.000000,9.386050,0.037058,0.006148,15000.0,512299.625,35649.563,1133530.625,10,10,8
1773844567783,15,0.000000,9.434225,0.016797,0.012594,15000.0,504048.219,33061.902,1165334.000,10,10,8
1773844567806,15,0.000000,9.456061,0.005570,0.013670,15000.0,519883.594,39670.793,1242463.250,10,10,9
1773844567831,15,0.000000,9.456061,0.000335,0.013481,15000.0,576960.438,57995.305,1285716.625,10,10,9
1773844567850,15,0.000000,9.456061,0.010346,0.014021,15000.0,632274.000,78760.844,1316621.375,10,10,9
1773844567872,15,0.000000,9.469511,0.007487,0.008107,15000.0,683194.938,98824.078,1304648.375,10,10,9
1773844567895,15,0.000000,9.469511,0.012393,0.007226,15000.0,722970.563,114485.797,1286182.000,10,10,8
1773844567915,15,0.000000,9.485621,0.034903,0.013093,15000.0,769993.500,135151.016,1222812.125,10,10,9
1773844567933,15,0.000000,9.530995,0.000740,0.013174,15000.0,814649.750,153620.453,1316780.375,10,10,7
1773844567956,15,0.000000,9.530995,-0.004679,0.010169,15000.0,842918.375,152789.828,1371634.375,10,10,8
1773844567957,15,0.000000,9.530995,-0.005555,0.007560,15000.0,867279.813,150036.922,1391792.750,10,10,8
1773844567979,15,0.000000,9.530995,-0.015744,0.001933,15000.0,878518.188,148152.750,1384168.500,10,10,6
1773844567999,15,0.000000,9.510529,0.002088,-0.004630,15000.0,905052.250,148349.188,1451151.750,10,10,8
1773844568021,15,0.000000,9.510529,0.010134,-0.002751,15000.0,960399.188,148679.234,1609610.250,10,10,8
1773844568044,15,0.000000,9.523703,-0.003011,-0.002417,15000.0,1017021.875,147143.984,1746609.625,10,10,8
